path,ext,width_px,height_px,feature,sha1
0.png,.png,128,128,,d8aa69d81cc397fc57ac89fdaef733bf19ab56da
1.png,.png,128,128,,b51dec88f4c3bbde5b66e22ce9be6c458be06529
10.png,.png,128,128,,9d11ac628b80ed01952479596a9563e73d886ad9
100.png,.png,48,48,,2bb445f5d1154095ef8d6c24906ac100c0c88d36
101.png,.png,48,48,,e231aa6bc02ea5e4a2d6ba84c8ef24acf8a8364c
102.png,.png,48,48,,ba0ea32c95d880117e8e322759013289a80cc0bc
103.png,.png,48,48,,a5ea395b06de4f02fd22c5583bc6d1a96b9174fa
104.png,.png,48,48,,2f791f993ab9f25ce8b3ee1010fe939a34a2cd75
11.png,.png,128,128,,e32830437e4891a3fdc3ddcd2d93452b00028183
12.png,.png,128,128,,4aeb7d0c9210bf8233389d15c7f52d3349ad57a8
13.png,.png,128,128,,6f46225c50130d9941f5bb753feb8cead108fd65
14.png,.png,128,128,,65ad25f796e8a955a3e24fa364b2b3e35d75f35d
15.png,.png,128,128,,c0a25073762423826f6a25057a0dbcca5c13879e
16.png,.png,48,48,,8c4712bc8fcc663042e0c8208f14d84f26495f6a
17.png,.png,128,128,,e3427052e640b1a7cc67faf781e40f16c05a426d
18.png,.png,128,128,,3ef89911f773f6052e896ae87e958397ba11d090
19.png,.png,128,128,,e49534a79d5f01616be0cfd4abef6829a9c97c4d
2.png,.png,128,128,,9aa91ee4ee9281c9aa38cffcc504c6153407110a
20.png,.png,128,128,,e59d8a53fdbdd9f2da84ba48a8c61593d2648ce2
21.png,.png,128,128,,dd262eb3f2d7fedec897e45ba75549029f4c29bd
22.png,.png,128,128,,1aa74ffb843eebcc8dd12428db25f8299b89c47a
23.png,.png,128,128,,ff2b2e014c48bcf2d296e64d7ce5447ed5c614b6
24.png,.png,48,48,,8b3eec252e7c3e2c72c4eedf0275eb5baf7ac07b
25.png,.png,128,128,,9efb09672c4bc62691535ef531596d486be1e8d8
26.png,.png,128,128,,5b8f9f1eeb9de18f4dd65cb4fa719d26a24db511
27.png,.png,48,48,,0adb0f1571ffc1f70182188781299380831cfe49
28.png,.png,128,128,,0c7b74365a9eccb2e0a4140fd860c3cea49a19b9
29.png,.png,128,128,,d535251f342e21139b3049ddb18c0e0cf857fd71
2_02.png,.png,128,128,,406985062a341df3e159f816c6c17eb1bd0f6ab1
2_04.png,.png,128,128,,a067563c8d871acb8bddd5abe212d62611ec5897
2_05.png,.png,128,128,,ef50f56ce9864739592047e783af9692348e97ca
2_06.png,.png,128,128,,1fb50f290a6e86b98f7302be191f0a98550141a2
2_07.png,.png,64,64,,233c38e5cd07ba3d8343ee3cf77fb84dfd8bb47e
2_09.png,.png,128,128,,c7591759ee62f3c88a29f708ddfa8771c7d63eae
2_10.png,.png,64,64,,1b259c2ae6ed8c9da6cdcd7aec39962f3e91af11
2_11.png,.png,128,128,,1f168f1312bef0adbf7bbd590c4e54f395679f66
2_12.png,.png,128,128,,b11a4b330865ea048fea910e87f0a93f8101b790
2_14.png,.png,64,64,,4f015d5b147908861ff2ec2701fc61b85a07ce75
2_15.png,.png,128,128,,79229771258b61be8cc6e3dd5dca62ca8a3659a6
2_16.png,.png,128,128,,8c938406108c0964fdf8aae1d5f0b11b0981e4ad
2_17.png,.png,64,64,,3047352964a5a9741b3aa2e75075b514239b43c5
3.png,.png,128,128,,171ae7833948ff078c12e8b050e765ca68a51732
30.png,.png,48,48,,23084cfbf804c5ad9418988c73ba26ced04c3dc8
31.png,.png,128,128,,c47e82d01a3226aa752583e31ebac84ada3a4537
32.png,.png,128,128,,cc023d0992b4fbc0c5636d484cac1e6564b40c8b
33.png,.png,128,128,,491c3944c2b5f3c7a0d951101ff52e1e2836b32b
34.png,.png,128,128,,ccb6d0d15578c33f791a3e5ccb5fb0ef2ad85df0
35.png,.png,48,48,,cc528db819a5365d5e54515486617aa65745912c
36.png,.png,128,128,,ef88901fe58e9c0cd9258fdb12991bff4412bcce
37.png,.png,128,128,,b7d47f7145617cbc36bba1a20913cf0910eb9adc
38.png,.png,128,128,,7964eb25f26cf8fbc28847760cb4af762a60abf5
39.png,.png,128,128,,662d74a532a5ced1a3ac38bcdccd0ad6a590878d
4.png,.png,128,128,,ba6c662d898c2c1d184b856de1ca01b603dbba9a
40.png,.png,128,128,,d76ccd566ae67913581800498631a1dd0c7ddd4c
41.png,.png,128,128,,f36c920474fa6353036965dbbffe4c74ef67c052
42.png,.png,128,128,,8504713236fb987a7e1f63159120218b34f5f3be
43.png,.png,48,48,,33f016daf4818b1657b5db67b0b15f1ea2e42dfe
44.png,.png,128,128,,7b00171c2ea2c22f27607e8e322910f93af4ca89
45.png,.png,48,48,,e5669554e8bb87bb10dee61d92f1fd9adffb0ddc
46.png,.png,128,128,,b50dba61a122797c58fdf1fed73d36ae94ccf688
47.png,.png,48,48,,3a6c071e24a5cf3e7ba80a706912d641ac8ab42e
48.png,.png,128,128,,e1ba43ff074e1b4f12957d74cac4e59935ff68c8
49.png,.png,128,128,,36370ba974bf74dd8a773c3e807dfbe80bec2a49
5.png,.png,128,128,,63bf0ec4f94209184d5a917a4289425c5dae49df
50.png,.png,128,128,,6767d02161b745f339e68b18775664a76d647530
51.png,.png,128,128,,a620f575b2e554deeb4595ada56edda19666a0fe
52.png,.png,128,128,,3f6f16355493aff0e1ab41b67dc5c7639fabca66
53.png,.png,48,48,,fede6dbd7b3df2e9f03a9ffff6741e44b390e441
54.png,.png,128,128,,184eae14d7b1178a208cd56ea16a057c2e75dd88
55.png,.png,128,128,,d7fa0bf775a07826f7c9e0d415993301bcc228a1
56.png,.png,48,48,,efd3e0d82b8cd2e77f9829302c8ebe2c173a6d51
57.png,.png,128,128,,22530d1ab1bd69150e2351a35df0c9c3fb040b32
58.png,.png,48,48,,91a4bdee99138ec48ddf7972cdc159a919730249
59.png,.png,48,48,,35398cc26b7a48db28d9f595f05a35dc43565448
6.png,.png,128,128,,c19b799eb436dcb77edc498bb5ea8da2c324d936
60.png,.png,128,128,,0dbaf9cddd52c9ba6af5ff9e84268a4402e640dc
61.png,.png,48,48,,8cb370682dc33f92e34cbfe9ec99a7974f775c63
62.png,.png,128,128,,a52eac37f7f6216a6c0c1620e7a5b642c5c37e05
63.png,.png,128,128,,a6d5fa6d3aad42dbb54a449ace3b4fa6d0133964
64.png,.png,128,128,,e0ac8dc8d1f200e328f6742d717f86a86bd8d962
65.png,.png,128,128,,161e37309652117123bb922d03ca71469ac97853
66.png,.png,128,128,,e8cc1c7abfcb0f757038e5fe1ae9c161c5589fc9
666.png,.png,128,128,,9051974e8ad0abaf8850848cbb78d2ea2765bdb0
67.png,.png,128,128,,3f530d3a8112ee94000748e07b7118c0d1891a0c
68.png,.png,128,128,,01bfcc7cf4f86d11a21259e1d6ab97ca518eb665
69.png,.png,48,48,,e80efb3e6c61b58a478db17a1557f37a9bc034b8
7.png,.png,128,128,,5292797c4c61b93e12628082f99a1851d2c9b32d
70.png,.png,128,128,,9fa9f492f656e5a5066c544a581943b5bf44f85b
71.png,.png,48,48,,15e8626dc4c92d41aac1d19a72c3493ca025afd6
72.png,.png,48,48,,053aa8e2d37ce3ff8f6a8cd0f3c05dd56fb543ab
73.png,.png,48,48,,bcf408ba7e607ed8327a40c3065429aba2d8f12b
74.png,.png,128,128,,5a7e139382472b290338262ea37df9e0bcd07ddf
75.png,.png,128,128,,dfc8bc5e7be01f8d1575aceb19888e8bcab4a4df
76.png,.png,128,128,,ee3d8fba220d5e4cfdf16e9784c8d113bf6d45ab
77.png,.png,128,128,,2ce85c33a4dec4bd0ec38f0ddfef45fac4b26e27
78.png,.png,128,128,,78713c3035bc744cb2b13b7c7a28a0f21ff95b69
79.png,.png,128,128,,ec73ba55a8bb49d7e5a44645702d4eb60645a758
8.png,.png,128,128,,edd90683e365daf969f72720639fecb44fa0848b
80.png,.png,128,128,,8a258dd9df59b9dfe09dc8ce39a6187b776a3076
81.png,.png,128,128,,185ec0ab9476bab904154152e001cc64f2b086c3
82.png,.png,128,128,,72b5ad6abb927bfa89941ae76113d0e781e56225
83.png,.png,128,128,,b3a8e603c8b0ffb3f9e79885164f4e70f0db97a4
84.png,.png,128,128,,113c6e3fda48af00b948d9ed3bde012a0886b7e9
85.png,.png,128,128,,4768d687631d71889dfce7015b87519570b9e75e
86.png,.png,48,48,,5c2a4920406d09e05bc4e3be5ad259c4301b2a25
87.png,.png,48,48,,8eb42f239d0943baba33798ec6eed3434f745e33
88.png,.png,48,48,,e5b9cf6278d50145600ea35ed3e7dd90c0ca4ebc
89.png,.png,128,128,,c248eda7389d0c33b6b7ae214b6832419544ecf5
9.png,.png,128,128,,dd2b35277e29f52c7ad067f6069882cd7207e3a0
90.png,.png,48,48,,bc835f359cc0d95e28ef5a1e136554d8e722b4a1
91.png,.png,48,48,,ca6f1a79429bd25953e805f7fd4675f1d6d7fea4
92.png,.png,128,128,,a1dcf2df817a658e6bacf7b559fd62d34adcfcc9
93.png,.png,128,128,,73d51d5c849c46787a4f18efef2bca6983c68a6e
94.png,.png,48,48,,2966225a27f874dd8c0d6233a64b0135f552f1cb
95.png,.png,128,128,,fac2d01c1bad1d585a9a2be5cdcd0b2ed7acf666
96.png,.png,48,48,,431f4c9e7d55205e341297a21e2145a3cbe751be
97.png,.png,48,48,,3b3c01dd03d0821ca0fcae9c0c42d3ca89600d92
98.png,.png,48,48,,7d52d545b4b0163b138989ce0d9fd24572402779
99.png,.png,48,48,,a882fe2d25ce1c122ef3ba0453503787b78dd961
Addoil.png,.png,128,128,,b50fa4e000b7acedb801e355dc97c593b040127e
Boring.png,.png,128,128,,6c4c0c855871eb745334940b1a190c537d59919e
Broken.png,.png,128,128,,cae680cb00c0c734d593fab8c50a2317cf982628
Cold.png,.png,128,128,,fbc1bca052adeb5253aca750fc8c40c550597db5
DIN-Bold.otf,.otf,,,,3fe608749c87aa2d39684c6c94ce16b83023b6d1
DIN-Medium.otf,.otf,,,,2aa0d52f0d23d68b43725779de299d617e314dcc
Duh.png,.png,128,128,,6dc11e7261c48fb043b67643cda4c8733a9c8933
Firecracker.png,.png,128,128,,9fe4e033ebc343d728b9e84da9f42bb179c90a48
Fireworks.png,.png,128,128,,13d6626da8af59c53e8c2b2fce818ed3c8f591ab
Flushed.png,.png,128,128,,52ffac277a019538cb57b22cd3cf664dd8f47e6d
Gift.png,.png,128,128,,2ce85c33a4dec4bd0ec38f0ddfef45fac4b26e27
Happy.png,.png,128,128,,880b1b74c26afa11b4b2f497f11fc10fb388050e
Hurt.png,.png,128,128,,bf2eae566c37ad3ed7ae8c98f3d92b161e0ed29c
Info.plist,.plist,,,,c3fe974e097fd5bbe74ab9c70dc223d376dddb0c
KeepFighting.png,.png,64,64,,d52e4ec28eb40bf374fb342faa85063c43e8b293
Let Down.png,.png,128,128,,ae748e01975799fb7c97eaf1565736f7d218b956
LetMeSee.png,.png,128,128,,618322558659551ce858b2d0463ee6f26a147467
Lol.png,.png,128,128,,fc6af29edd531c3fe804367c01f54a2faa21f4b3
NoProb.png,.png,128,128,,73bf8093ba6ff8f37efd4deb83c32e74d09a3912
Party.png,.png,128,128,,e3582a75e37b10961c369ce8e32cfaf90c640c91
PrivacyInfo.xcprivacy,.xcprivacy,,,,8a282e4ef36d22dedd95f9a6d7559032ae137314
QQShareTest.png,.png,1236,780,,d890847844b95ffa18290f342a3e3bf7daf158ed
Shocked!.png,.png,128,128,,2e170d851a84edc304d89e571b75ccabf52a0cfc
Sick.png,.png,128,128,,9abe64f0c58ee8a22b67d65f734ab69fd212bb39
Sigh.png,.png,128,128,,61181c9e2b7ba2e7fa60562bf7e33f80d449c9ab
Slap.png,.png,128,128,,2658dea13ef30f2f0507cfa75271528baec987fc
Social.png,.png,128,128,,8ca37e4617d2570cc6aea2162d69d057e3e79529
Sweat.png,.png,128,128,,bb8b6ed5de66ba7a8aaf23d4f4de9b9d475f4bc7
Template_sticker.html,.html,,,emoji,e7b3d548a5f711a1bc18d0b55ed8771a5df5fd7e
Terror.png,.png,128,128,,63e3886df3d06470715224e0c662247966b7c6f4
Watermelon.png,.png,128,128,,a1a81bdd8cfc0edab7954925fe63cebc835c53e8
WeReadLS-Bold.otf,.otf,,,,a284c073271c8f6b665c0a8ffa96bb99b7ecd5ab
WeReadLS-Medium.otf,.otf,,,,e59350a8acd8add087a912cb8adb1aa535f284f5
WeReadLS-Regular.otf,.otf,,,,439fe09ad4dacb0caf7a64c06bf099a2ad3da4b6
WeReadRN-Regular.ttf,.ttf,,,,1eb72f686b5b8eea7e6a90c9bc5a060eafec7646
Worship.png,.png,128,128,,58850137376f69f97a3a83b14213e9538cd7c9d7
Wow!.png,.png,128,128,,9bef09b64c7d9835abd2f5106bf71b86ae1f0634
Yellowdog.png,.png,128,128,,b7036435823f405ce36e072fb768a3c5cca8a318
_CodeSignature/CodeResources,,,,,467283166c735cf1231f68f2f4b55328f7c29c0d
candidate_sperator@2x.png,.png,2,80,candidate,29b23e3dc9649bc8ac6bbe3494e6155c6abeae10
candidate_sperator@3x.png,.png,3,120,candidate,1ad1acc350e648457236be8b76c2d18b05e1a37e
cha.png,.png,128,128,,085383b466a7a46b1aa2dac6b26b90dc79a33739
compose2,,,,,ae7e10d6dca69b6d9c0de075abb7858f812877fe
control_center_correction@2x.png,.png,88,88,correction,288dc4a756abcfd77a79c44c8545a212575d2c12
control_center_correction@3x.png,.png,132,132,correction,57ead7e0b62f254d8856ee0c409076773e2e3ad5
control_center_emoji@2x.png,.png,88,88,emoji,7a5e9296575a8c4b9046417f29ee65b11e7878d2
control_center_emoji@3x.png,.png,132,132,emoji,bd6a8b4d85ed88d2aa4fdba4b9f17badc8e97847
control_center_hotword@2x.png,.png,88,88,,8b9243fb394d5ebb22a9f0705f57aa360ed43d2b
control_center_hotword@3x.png,.png,132,132,,f71f5656db6f3ed66c677d3189ff575d8514d52b
control_center_quicksend@2x.png,.png,88,88,transfer,be7e5031a9d9c8517182052bd15093ede736862b
control_center_quicksend@3x.png,.png,132,132,transfer,21ae9b10b0b6e89180e953090d27d1728550ad89
control_center_voice@2x.png,.png,88,88,voice,73a5ae9c4ccec38178d255fcde64b2c724deaf58
control_center_voice@3x.png,.png,132,132,voice,fc99d69b22bb1ca8341d1358316d82c300359efe
control_center_write@2x.png,.png,88,88,handwriting,6d80c94a20052cef96634cd39487201b3899676d
control_center_write@3x.png,.png,132,132,handwriting,b9eb79a498431cc633d8146fa6eafb3a2e194275
designer,,,,,24776d6ec8ee3dd2840269574e3fbcdab8882688
edge_separator_mask@2x.png,.png,16,44,,f3ba452f898198631e6d103652f45d28ad53657f
edge_separator_mask@3x.png,.png,24,66,,51fbbfb55541ee3b36e3528ab3f18b450af0e08a
en.lproj/Keyboard.strings,.strings,,,keyboard,ce657a52a052a3aaf534ecfbf7cbdde4ee334c10
full_symbol.ini,.ini,,,symbols,efd278e52664ca91e32d1442be5b1f71797d5bc8
full_symbol2.ini,.ini,,,symbols,c2656a6ca27bbfc1a7de971e62caaf6ee73f3eb9
hahaha.png,.png,128,128,,fd8d27afdbd4f60a32f95843754c83999fd15dd5
